,Name,Price,Link
0,Samsung C49RG90 (LC49RG90SSUXEN),1 163 €,https://www.datart.sk/c49rg90-lc49rg90ssuxen.html
1,MSI Prestige PS341WU (Prestige PS341WU),1 049 €,https://www.datart.sk/prestige-ps341wu-flat-prestige-ps341wu.html
2,LG 34GK950F-B (34GK950F-B.AEU),981 €,https://www.datart.sk/-34gk950f-b-aeu-34gk950f-b-aeu.html
3,Philips 499P9H čierne (499P9H),932 €,https://www.datart.sk/philips-499p9h-499p9h.html
4,Samsung C49J89 (LC49J890DKUXEN),889 €,https://www.datart.sk/lc49j890dkuxen-lc49j890dkuxen.html
5,Acer EB550Kbmiipx (UM.NE0EE.001),823 €,https://www.datart.sk/eb550kbmiiipx-140cm-55-ips-led-3840x2160-60hz-100m-1-300cd-m2-178-178-4ms-vga-2xhdmi-1-4-hdmi-2-0-dp-audio-in-out-repro-2x5w-vesa-hdr-ready-6color-adjustment-flickerless-bluelightfilter-pip-pbp-remote-black-um-ne0ee-001.html
6,Acer ConceptD CP3271KP (UM.HC1EE.P01),751 €,https://www.datart.sk/conceptd-cp3271kp-69cm-27-ips-led-uhd-4k-3840x2160-144hz-100m-1-400cd-m2-178-178-1ms-vrb-2xhdmi-2-0-2xdp-1-4-usb3-0-hub-audio-out-repro-2x4w-hgt-adj-pivot-vesa-dci-p3-g-sync-compatible-6color-adjustment-delta-e-1-display-hdr-400.html
7,AOC AG352UCG6 čierny (AG352UCG6),"742,90 €",https://www.datart.sk/monitor-aoc-ag352ucg6-cierny-ag352ucg6.html
8,Dell Alienware AW3418DW (210-AMNE),729 €,https://www.datart.sk/monitor-dell-alienware-aw3418dw-210-amne.html
9,Samsung C34H890 čierny (LC34H890WJUXEN),685 €,https://www.datart.sk/Samsung-34-C34H890-UltraWQHD-VA-DP-HDMI-USB.html
10,"Samsung 27"" Odyssey G7, 240 Hz (LC27G75TQSUXEN)",679 €,https://www.datart.sk/monitor-samsung-27-odyssey-g7-240-hz-lc27g75tqsuxen.html
11,Dell U3415W UltraSharp (210-ADYS),"669,80 €",https://www.datart.sk/monitor-dell-u3415w-ultrasharp-210-adys.html
12,Acer Nitro XV340CKPbmiipphzx (UM.CX0EE.P05),661 €,https://www.datart.sk/nitro-xv340ckpbmiipphzx-86cm-34-ips-led-21-9-3440x1440-144hz-100m-1-250cd-m2-178-178-1ms-vrb-2xhdmi-2-0-2xdp-1-4-audio-out-usb-3-0hub-repro-2x3w-hgt-adj-vesa-hdr-ready-acerdisplaywidget-freesync-6color-adjustment-flickerless-blueli.html
13,Acer EB490QKbmiipx (UM.SE0EE.001),625 €,https://www.datart.sk/eb490qkbmiiipx-126cm-48-5-ips-led-3840x2160-75hz-100m-1-320cd-m2-178-178-4ms-vga-2xhdmi-1-4-hdmi-2-0-dp-audio-in-out-repro-2x5w-vesa-hdr-ready-6color-adjustment-flickerless-bluelightfilter-pip-pbp-remote-black-um-se0ee-001.html
14,"Acer Predator XB271HUbmiprz 27"" čierny (UM.HX1EE.005)",613 €,https://www.datart.sk/monitor-acer-predator-xb271hubmiprz-27-cierny-um-hx1ee-005.html
15,Samsung C32HG70 čierny (LC32HG70QQUXEN),592 €,https://www.datart.sk/Samsung-32-C32HG70-HerniQHD-Proh-s-HDR-VA-DP-HDMI.html
16,Samsung U32H850 čierny (LU32H850UMUXEN),548 €,https://www.datart.sk/LCD-monitor-Samsung-32-U32H850-UHD-TN-DP-minDP-HDMI-USB.html
17,HP 34f Curved (6JM50AA#ABB),"539,60 €",https://www.datart.sk/hp-34f-curved-prohnuty-34-ips-21-9-3440x1440-5ms-300-cd-m2-1000-1-staticky-10-000-000-1-dynamicky-2x-hdmi-2-0-1x-displayport-1-2-3x-usb-3-0-usb-a-1x-usb-b-zaruka-2-2-0-6jm50aa-abb.html
18,Philips 436M6VBPAB (436M6VBPAB/00),"534,90 €",https://www.datart.sk/monitor-philips-436m6vbpab-436m6vbpab-00.html
19,Lenovo G34w-10 (66A1GACBEU),530 €,https://www.datart.sk/lenovo-g34w-10-66a1gacbeu.html
20,Philips 346P1CRH (346P1CRH/00),526 €,https://www.datart.sk/monitor-philips-346p1crh-346p1crh-00.html
21,AOC CU34G2X (CU34G2X/BK),526 €,https://www.datart.sk/monitor-aoc-cu34g2x-cu34g2x-bk.html
